Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report,Device_Age,Age_Category,Has_Failed,High_Maintenance
MD03449,Defibrillator,2018-04-23,7,Cardiosync,Model-100,France,7115.349585060145,7.933823997841837,3,0,1,Component component upgrade after detecting overheating; functionality restored. log cleaned low priority fault,7,medio,0,0
MD02024,Infusion Pump,2020-12-10,5,Medequip,Model-650,Italy,7290.780658488662,7.838711421841907,3,4,2,battery wear caused operational delay; replacement initiated. driver update device required inspection,5,medio,1,1
MD04239,Mri Scanner,2023-11-22,2,Imagingtech,Model-650,France,5635.5217876070055,13.911045265110374,1,2,3,data lag caused operational delay; component upgrade initiated. data loss emergency shutdown,2,nuevo,1,0
MD00153,Defibrillator,2021-03-03,4,Rescuetech,Model-450,Uk,5001.360187973189,29.059510229641845,3,1,3,Routine check completed; battery wear observed during diagnostics. sensor replaced emergency shutdown,4,medio,1,0
MD03743,Defibrillator,2019-05-16,6,Rescuetech,Model-450,Canada,7555.132927951688,13.942354812115582,4,4,2,Component inspection after detecting voltage spike; functionality restored. driver update moderate delay,6,medio,1,1
MD01925,X-Ray Machine,2019-06-19,6,Cardiosync,Model-250,Uk,11190.79923653013,3.337001709218628,4,3,2,software crash caused operational delay; software patch initiated. reviewed logs performance warning,6,medio,1,1
MD05194,Defibrillator,2013-09-20,12,Rescuetech,Model-600,Japan,4511.50749292888,15.169395161391895,1,2,2,Component recalibration after detecting overheating; functionality restored. component issue device required inspection,12,viejo,1,0
MD05160,Infusion Pump,2023-02-02,2,Imagingtech,Model-450,Japan,13615.69324576296,15.399164305116097,1,2,3,Component replacement after detecting voltage spike; functionality restored. data loss system crash,2,nuevo,1,1
MD02451,Mri Scanner,2023-09-22,2,Medequip,Model-550,Canada,6311.195836396027,1.225702567286063,2,0,1,Routine check completed; battery wear observed during diagnostics. log cleaned log file cleared,2,nuevo,0,0
MD01761,Defibrillator,2023-10-14,2,Imagingtech,Model-150,Canada,16619.23669164574,25.65134426012196,3,0,3,Component firmware update after detecting voltage spike; functionality restored. critical failure urgent inspection needed,2,nuevo,0,1
MD04960,Mri Scanner,2014-05-29,11,Medequip,Model-200,France,-254.71432016722508,10.432459031625594,5,1,3,Component recalibration after detecting software crash; functionality restored. sensor replaced critical failure,11,viejo,1,0
MD05200,Pet Scanner,2014-01-25,11,Rescuetech,Model-650,France,21773.543901087887,7.055234692321768,3,1,3,Component software patch after detecting data lag; functionality restored. critical failure critical failure,11,viejo,1,1
MD01507,X-Ray Machine,2014-09-21,11,Ultramed,Model-500,France,8529.633208851754,13.598086637079083,4,3,3,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash,11,viejo,1,1
MD00528,Mri Scanner,2015-06-06,10,Cardiosync,Model-350,Uk,11482.620784354973,5.863019297565919,2,2,3,Routine check completed; software crash observed during diagnostics. sensor replaced system crash,10,viejo,1,1
MD00791,Defibrillator,2020-10-23,5,Ultramed,Model-250,Japan,1601.4154808145213,9.502930571378224,2,2,1,Routine check completed; battery wear observed during diagnostics. quick fix stable condition,5,medio,1,0
MD01215,Defibrillator,2018-09-14,7,Scanpro,Model-150,France,3227.752741036572,1.985457913689108,3,2,1,voltage spike caused operational delay; inspection initiated. quick fix low priority fault,7,medio,1,0
